,place,name,year,month,visitors
7,8 ,'57 Chevy,2017,März,88
8,9 ,Highfly,2017,März,85
9,10 ,James Bond Martini,2017,März,81
0,1 ,Irish Flag (alkoholisch),2017,April,355
1,2 ,Baby Aspirin,2017,April,102
2,3 ,Sex On The Beach,2017,April,92
3,4 ,Mai Tai,2017,April,90
4,5 ,Moscow Mule 2,2017,April,87
5,6 ,'57 Chevy,2017,April,75
6,7 ,London Fog,2017,April,74
7,8 ,Caipirinha,2017,April,74
8,9 ,Mojito original,2017,April,72
9,10 ,Highfly,2017,April,67
0,1 ,Irish Flag (alkoholisch),2017,Mai,294
1,2 ,Fire Bomb,2017,Mai,267
2,3 ,Baby Aspirin,2017,Mai,102
3,4 ,Sex On The Beach,2017,Mai,87
4,5 ,Caipirinha,2017,Mai,86
5,6 ,'57 Chevy,2017,Mai,81
6,7 ,Mai Tai,2017,Mai,76
7,8 ,Highfly,2017,Mai,71
8,9 ,Long Island Icetea,2017,Mai,68
9,10 ,Zombie,2017,Mai,68
0,1 ,Irish Flag (alkoholisch),2017,Juni,326
1,2 ,Sex On The Beach,2017,Juni,86
2,3 ,Baby Aspirin,2017,Juni,82
3,4 ,Caipirinha,2017,Juni,81
4,5 ,Mai Tai,2017,Juni,75
5,6 ,Mojito original,2017,Juni,72
6,7 ,Long Island Icetea,2017,Juni,69
7,8 ,Zombie,2017,Juni,66
8,9 ,'57 Chevy,2017,Juni,63
9,10 ,Highfly,2017,Juni,60
0,1 ,Irish Flag (alkoholisch),2017,Juli,297
1,2 ,'57 Chevy,2017,Juli,89
2,3 ,Baby Aspirin,2017,Juli,71
3,4 ,Caipirinha,2017,Juli,71
4,5 ,Sex On The Beach,2017,Juli,68
5,6 ,Mai Tai,2017,Juli,66
6,7 ,Mojito original,2017,Juli,63
7,8 ,Long Island Icetea,2017,Juli,57
8,9 ,Zombie,2017,Juli,52
9,10 ,Zerstörer,2017,Juli,47
0,1 ,Irish Flag (alkoholisch),2017,August,306
1,2 ,'57 Chevy,2017,August,88
2,3 ,Sex On The Beach,2017,August,73
3,4 ,Baby Aspirin,2017,August,67
4,5 ,Mai Tai,2017,August,64
5,6 ,Caipirinha,2017,August,60
6,7 ,Long Island Icetea,2017,August,59
7,8 ,Mojito original,2017,August,57
8,9 ,Zerstörer,2017,August,55
9,10 ,Zombie,2017,August,52
0,1 ,Irish Flag (alkoholisch),2017,September,355
1,2 ,'57 Chevy,2017,September,76
2,3 ,Baby Aspirin,2017,September,72
3,4 ,Sex On The Beach,2017,September,66
4,5 ,Long Island Icetea,2017,September,64
5,6 ,Zombie,2017,September,59
6,7 ,Mojito original,2017,September,58
7,8 ,Mai Tai,2017,September,51
8,9 ,Highfly,2017,September,49
9,10 ,Caipirinha,2017,September,47
0,1 ,Irish Flag (alkoholisch),2017,Oktober,382
1,2 ,'57 Chevy,2017,Oktober,89
2,3 ,Sex On The Beach,2017,Oktober,83
3,4 ,Baby Aspirin,2017,Oktober,83
4,5 ,Mai Tai,2017,Oktober,71
5,6 ,Caipirinha,2017,Oktober,67
6,7 ,Long Island Icetea,2017,Oktober,62
7,8 ,Highfly,2017,Oktober,61
8,9 ,Zombie,2017,Oktober,60
9,10 ,Mojito original,2017,Oktober,55
0,1 ,Irish Flag (alkoholisch),2017,November,346
1,2 ,Baby Aspirin,2017,November,90
2,3 ,Long Island Icetea,2017,November,72
3,4 ,'57 Chevy,2017,November,69
4,5 ,Caipirinha,2017,November,67
5,6 ,Sex On The Beach,2017,November,66
6,7 ,Zombie,2017,November,66
7,8 ,Mai Tai,2017,November,52
8,9 ,Mojito original,2017,November,49
9,10 ,Boston Cooler,2017,November,41
0,1 ,Irish Flag (alkoholisch),2017,Dezember,532
1,2 ,Whiskey Sour,2017,Dezember,77
2,3 ,Sex On The Beach,2017,Dezember,74
3,4 ,Baby Aspirin,2017,Dezember,74
4,5 ,Mai Tai,2017,Dezember,71
5,6 ,Long Island Icetea,2017,Dezember,65
6,7 ,Zombie,2017,Dezember,64
7,8 ,Caipirinha,2017,Dezember,63
8,9 ,Zerstörer,2017,Dezember,61
9,10 ,A B V,2017,Dezember,58
0,1 ,Irish Flag (alkoholisch),2018,total,3904
1,2 ,Baby Aspirin,2018,total,812
2,3 ,Caipirinha,2018,total,796
3,4 ,Sex On The Beach,2018,total,772
4,5 ,Mai Tai,2018,total,756
5,6 ,'57 Chevy,2018,total,704
6,7 ,Long Island Icetea,2018,total,672
7,8 ,Zombie,2018,total,671
8,9 ,Mojito original,2018,total,659
9,10 ,Zerstörer,2018,total,613
0,1 ,Irish Flag (alkoholisch),2018,Januar,383
1,2 ,Baby Aspirin,2018,Januar,84
2,3 ,'57 Chevy,2018,Januar,79
3,4 ,Long Island Icetea,2018,Januar,76
4,5 ,Sex On The Beach,2018,Januar,74
5,6 ,Caipirinha,2018,Januar,68
6,7 ,Mojito original,2018,Januar,61
7,8 ,Mai Tai,2018,Januar,61
8,9 ,Zombie,2018,Januar,59
9,10 ,Whiskey Sour,2018,Januar,56
0,1 ,Irish Flag (alkoholisch),2018,Februar,418
1,2 ,Baby Aspirin,2018,Februar,105
2,3 ,Sex On The Beach,2018,Februar,104
3,4 ,'57 Chevy,2018,Februar,96
4,5 ,Caipirinha,2018,Februar,91
5,6 ,Mai Tai,2018,Februar,90
6,7 ,Long Island Icetea,2018,Februar,89
7,8 ,Highfly,2018,Februar,81
8,9 ,Zombie,2018,Februar,79
9,10 ,Mojito original,2018,Februar,73
0,1 ,Irish Flag (alkoholisch),2018,März,520
1,2 ,'57 Chevy,2018,März,94
2,3 ,Zombie,2018,März,93
3,4 ,Baby Aspirin,2018,März,93
4,5 ,Sex On The Beach,2018,März,91
5,6 ,Alexander,2018,März,90
6,7 ,Mai Tai,2018,März,89
7,8 ,Caipirinha,2018,März,86
8,9 ,Mojito original,2018,März,83
9,10 ,Highfly,2018,März,77
0,1 ,Irish Flag (alkoholisch),2018,April,293
1,2 ,Caipirinha,2018,April,84
2,3 ,'57 Chevy,2018,April,81
3,4 ,Sex On The Beach,2018,April,78
4,5 ,Baby Aspirin,2018,April,72
5,6 ,Mai Tai,2018,April,69
6,7 ,Long Island Icetea,2018,April,65
7,8 ,Zombie,2018,April,65
8,9 ,Absinth,2018,April,65
9,10 ,Highfly,2018,April,62
0,1 ,Irish Flag (alkoholisch),2018,Mai,196
1,2 ,Sex On The Beach,2018,Mai,65
2,3 ,Baby Aspirin,2018,Mai,63
3,4 ,Zombie,2018,Mai,60
4,5 ,Caipirinha,2018,Mai,57
5,6 ,Mojito original,2018,Mai,55
6,7 ,Mai Tai,2018,Mai,54
7,8 ,Long Island Icetea,2018,Mai,53
8,9 ,Highfly,2018,Mai,47
9,10 ,'57 Chevy,2018,Mai,42
0,1 ,Irish Flag (alkoholisch),2018,Juni,210
1,2 ,"Pina Colada ""real""",2018,Juni,188
2,3 ,Snowball Fizz,2018,Juni,162
3,4 ,Evilsch,2018,Juni,125
4,5 ,Hot Whiskey Toddy,2018,Juni,116
5,6 ,Feuerzangenbowle,2018,Juni,112
6,7 ,B and B,2018,Juni,111
7,8 ,Gin-n-Fruit,2018,Juni,111
8,9 ,Gine And Tonic,2018,Juni,109
9,10 ,Talos Green,2018,Juni,103
0,1 ,Irish Flag (alkoholisch),2018,Juli,237
1,2 ,Di Amore Dream,2018,Juli,118
2,3 ,Whiskey Sour,2018,Juli,62
3,4 ,Caipirinha,2018,Juli,61
4,5 ,Baby Aspirin,2018,Juli,60
5,6 ,Mai Tai,2018,Juli,58
6,7 ,Mojito original,2018,Juli,56
7,8 ,Bull Shot,2018,Juli,55
8,9 ,Sex On The Beach,2018,Juli,54
9,10 ,Zombie,2018,Juli,48
0,1 ,Irish Flag (alkoholisch),2018,August,254
1,2 ,Birnenaperitif,2018,August,153
2,3 ,911 Targa,2018,August,120
3,4 ,Kir Framboise,2018,August,117
4,5 ,Gin Alexander,2018,August,106
5,6 ,Queen Of Scots,2018,August,91
6,7 ,Apricot Sour,2018,August,90
7,8 ,Traffic Light Cooler,2018,August,82
8,9 ,Manhattan medium 2,2018,August,81
9,10 ,Russian Bear Cocktail,2018,August,80
0,1 ,Irish Flag (alkoholisch),2018,September,334
1,2 ,A B V,2018,September,45
2,3 ,Caipirinha,2018,September,44
3,4 ,Sex On The Beach,2018,September,43
4,5 ,Boston Cooler,2018,September,43
5,6 ,Mai Tai,2018,September,42
6,7 ,Baby Aspirin,2018,September,41
7,8 ,Jäger Ace,2018,September,40
8,9 ,Blueberry Martini,2018,September,40
9,10 ,Twin Hills,2018,September,40
0,1 ,Irish Flag (alkoholisch),2018,Oktober,434
1,2 ,Zerstörer,2018,Oktober,68
2,3 ,Speed King,2018,Oktober,53
3,4 ,Baby Aspirin,2018,Oktober,51
4,5 ,Caipirinha,2018,Oktober,51
5,6 ,Omas offenes Bein,2018,Oktober,44
6,7 ,Mojito original,2018,Oktober,43
7,8 ,Sex On The Beach,2018,Oktober,41
8,9 ,Mai Tai,2018,Oktober,40
9,10 ,Boston Cooler,2018,Oktober,38
0,1 ,Irish Flag (alkoholisch),2018,November,306
1,2 ,Zerstörer,2018,November,91
2,3 ,Speed King,2018,November,72
3,4 ,Sex On The Beach,2018,November,60
4,5 ,Baby Aspirin,2018,November,58
5,6 ,Caipirinha,2018,November,53
6,7 ,Zombie,2018,November,51
7,8 ,Mai Tai,2018,November,51
8,9 ,Long Island Icetea,2018,November,50
9,10 ,'57 Chevy,2018,November,50
0,1 ,Irish Flag (alkoholisch),2018,Dezember,319
1,2 ,Speed King,2018,Dezember,94
2,3 ,Zerstörer,2018,Dezember,90
3,4 ,Caipirinha,2018,Dezember,71
4,5 ,Long Island Icetea,2018,Dezember,59
5,6 ,Mai Tai,2018,Dezember,57
6,7 ,Sex On The Beach,2018,Dezember,56
7,8 ,'57 Chevy,2018,Dezember,56
8,9 ,Baby Aspirin,2018,Dezember,54
9,10 ,Mojito original,2018,Dezember,48
0,1 ,Irish Flag (alkoholisch),2019,total,927
1,2 ,Zerstörer,2019,total,649
2,3 ,Speed King,2019,total,462
3,4 ,Baby Aspirin,2019,total,361
4,5 ,Caipirinha,2019,total,360
5,6 ,Omas offenes Bein,2019,total,352
6,7 ,Sex On The Beach,2019,total,330
7,8 ,Long Island Icetea,2019,total,329
8,9 ,Mai Tai,2019,total,320
9,10 ,Mojito original,2019,total,306
0,1 ,Irish Flag (alkoholisch),2019,Januar,219
1,2 ,Speed King,2019,Januar,79
2,3 ,Baby Aspirin,2019,Januar,66
3,4 ,Zerstörer,2019,Januar,64
4,5 ,Mai Tai,2019,Januar,59
5,6 ,Mojito original,2019,Januar,55
6,7 ,Long Island Icetea,2019,Januar,54
7,8 ,Caipirinha,2019,Januar,53
8,9 ,Zombie,2019,Januar,52
9,10 ,Sex On The Beach,2019,Januar,50
0,1 ,Irish Flag (alkoholisch),2019,Februar,167
1,2 ,Baby Aspirin,2019,Februar,67
2,3 ,Zerstörer,2019,Februar,63
3,4 ,Speed King,2019,Februar,61
4,5 ,Highfly,2019,Februar,59
5,6 ,Caipirinha,2019,Februar,51
6,7 ,Sex On The Beach,2019,Februar,46
7,8 ,Long Island Icetea,2019,Februar,46
8,9 ,Schwanzlstürzer,2019,Februar,45
9,10 ,Omas offenes Bein,2019,Februar,44
0,1 ,Irish Flag (alkoholisch),2019,März,149
1,2 ,Zerstörer,2019,März,95
2,3 ,Speed King,2019,März,60
3,4 ,Omas offenes Bein,2019,März,54
4,5 ,Baby Aspirin,2019,März,52
5,6 ,Caipirinha,2019,März,52
6,7 ,Long Island Icetea,2019,März,48
7,8 ,Highfly,2019,März,48
8,9 ,Mai Tai,2019,März,45
9,10 ,Sex On The Beach,2019,März,43
0,1 ,Irish Flag (alkoholisch),2019,April,109
1,2 ,Zerstörer,2019,April,93
2,3 ,Speed King,2019,April,75
3,4 ,Omas offenes Bein,2019,April,63
4,5 ,Caipirinha,2019,April,60
5,6 ,Sex On The Beach,2019,April,50
6,7 ,Baby Aspirin,2019,April,49
7,8 ,Mai Tai,2019,April,47
8,9 ,Schwanzlstürzer,2019,April,46
9,10 ,Boston Cooler,2019,April,44
0,1 ,Zerstörer,2019,Mai,114
1,2 ,Irish Flag (alkoholisch),2019,Mai,108
2,3 ,Speed King,2019,Mai,66
3,4 ,Schwanzlstürzer,2019,Mai,49
4,5 ,Baby Aspirin,2019,Mai,47
5,6 ,Mai Tai,2019,Mai,46
6,7 ,Long Island Icetea,2019,Mai,43
7,8 ,Sex On The Beach,2019,Mai,42
8,9 ,Mojito original,2019,Mai,42
9,10 ,Caipirinha,2019,Mai,41
0,1 ,Zerstörer,2019,Juni,112
1,2 ,Irish Flag (alkoholisch),2019,Juni,97
2,3 ,Speed King,2019,Juni,69
3,4 ,Omas offenes Bein,2019,Juni,66
4,5 ,Sex On The Beach,2019,Juni,58
5,6 ,Schwanzlstürzer,2019,Juni,58
6,7 ,White Russian (der Echte!),2019,Juni,53
7,8 ,Caipirinha,2019,Juni,51
8,9 ,Bavorak,2019,Juni,51
9,10 ,Long Island Icetea,2019,Juni,50
0,1 ,Zerstörer,2019,Juli,143
1,2 ,Irish Flag (alkoholisch),2019,Juli,90
2,3 ,Speed King,2019,Juli,73
3,4 ,Caipirinha,2019,Juli,66
4,5 ,Baby Aspirin,2019,Juli,58
5,6 ,Long Island Icetea,2019,Juli,54
6,7 ,Mojito original,2019,Juli,53
7,8 ,Schwanzlstürzer,2019,Juli,52
8,9 ,Sex On The Beach,2019,Juli,48
9,10 ,Boston Cooler,2019,Juli,46
0,1 ,'57 Chevy,2019,August,18
1,2 ,Irish Flag (alkoholisch),2019,August,18
2,3 ,Long Island Icetea,2019,August,17
3,4 ,Mai Tai,2019,August,17
4,5 ,Caipirinha,2019,August,15
5,6 ,Zerstörer,2019,August,15
6,7 ,Mojito original,2019,August,13
7,8 ,Baby Aspirin,2019,August,12
8,9 ,Whiskey Sour,2019,August,11
9,10 ,Martini dry,2019,August,10
0,1 ,Zerstörer,2019,September,91
1,2 ,Speed King,2019,September,61
2,3 ,Irish Flag (alkoholisch),2019,September,46
3,4 ,Sex On The Beach,2019,September,39
4,5 ,Caipirinha,2019,September,38
5,6 ,Bavorak,2019,September,35
6,7 ,Long Island Icetea,2019,September,33
7,8 ,Whiskey Sour 2,2019,September,32
8,9 ,Baby Aspirin,2019,September,31
9,10 ,Wiki Waki Woo,2019,September,31
0,1 ,Zerstörer,2019,Oktober,91
1,2 ,Speed King,2019,Oktober,67
2,3 ,Sex On The Beach,2019,Oktober,52
3,4 ,Irish Flag (alkoholisch),2019,Oktober,50
4,5 ,Schwanzlstürzer,2019,Oktober,47
5,6 ,Baby Aspirin,2019,Oktober,40
6,7 ,Mai Tai,2019,Oktober,39
7,8 ,Zombie,2019,Oktober,37
8,9 ,Caipirinha,2019,Oktober,37
9,10 ,Highfly,2019,Oktober,34
0,1 ,Zerstörer,2019,November,116
1,2 ,Schwanzlstürzer,2019,November,84
2,3 ,Irish Flag (alkoholisch),2019,November,74
3,4 ,Speed King,2019,November,63
4,5 ,Baby Aspirin,2019,November,52
5,6 ,'57 Chevy,2019,November,41
6,7 ,Sex On The Beach,2019,November,40
7,8 ,Long Island Icetea,2019,November,38
8,9 ,Mai Tai,2019,November,33
9,10 ,Caipirinha,2019,November,32
0,1 ,Zerstörer,2019,Dezember,144
1,2 ,Speed King,2019,Dezember,95
2,3 ,Schwanzlstürzer,2019,Dezember,59
3,4 ,Irish Flag (alkoholisch),2019,Dezember,56
4,5 ,Sex On The Beach,2019,Dezember,54
5,6 ,Bavorak,2019,Dezember,51
6,7 ,Baby Aspirin,2019,Dezember,45
7,8 ,Aperol sour,2019,Dezember,44
8,9 ,Omas offenes Bein,2019,Dezember,43
9,10 ,Zombie,2019,Dezember,41
0,1 ,Zerstörer,2020,total,987
1,2 ,Baby Aspirin,2020,total,673
2,3 ,Speed King,2020,total,641
3,4 ,Sex On The Beach,2020,total,641
4,5 ,Irish Flag (alkoholisch),2020,total,555
5,6 ,Schwanzlstürzer,2020,total,516
6,7 ,Long Island Icetea,2020,total,466
7,8 ,Omas offenes Bein,2020,total,449
8,9 ,Caipirinha,2020,total,449
9,10 ,'57 Chevy,2020,total,443
0,1 ,Zerstörer,2020,Januar,121
1,2 ,Irish Flag (alkoholisch),2020,Januar,87
2,3 ,Baby Aspirin,2020,Januar,80
3,4 ,Speed King,2020,Januar,74
4,5 ,Sex On The Beach,2020,Januar,69
5,6 ,Bavorak,2020,Januar,67
6,7 ,Schwanzlstürzer,2020,Januar,64
7,8 ,Long Island Icetea,2020,Januar,54
8,9 ,Omas offenes Bein,2020,Januar,51
9,10 ,Caipirinha,2020,Januar,49
0,1 ,Zerstörer,2020,Februar,80
1,2 ,Speed King,2020,Februar,53
2,3 ,Sex On The Beach,2020,Februar,39
3,4 ,Irish Flag (alkoholisch),2020,Februar,37
4,5 ,Baby Aspirin,2020,Februar,36
5,6 ,Long Island Icetea,2020,Februar,34
6,7 ,Highfly,2020,Februar,30
7,8 ,Schwanzlstürzer,2020,Februar,30
8,9 ,'57 Chevy,2020,Februar,30
9,10 ,Mojito original,2020,Februar,29
0,1 ,Zerstörer,2020,März,78
1,2 ,Baby Aspirin,2020,März,75
2,3 ,Sex On The Beach,2020,März,66
3,4 ,Speed King,2020,März,58
4,5 ,Irish Flag (alkoholisch),2020,März,55
5,6 ,Alexander 2,2020,März,54
6,7 ,Mojito original,2020,März,51
7,8 ,Zombie,2020,März,50
8,9 ,Caipirinha,2020,März,50
9,10 ,Long Island Icetea,2020,März,49
0,1 ,Baby Aspirin,2020,April,66
1,2 ,Zerstörer,2020,April,65
2,3 ,Sex On The Beach,2020,April,59
3,4 ,Speed King,2020,April,52
4,5 ,'57 Chevy,2020,April,52
5,6 ,Long Island Icetea,2020,April,52
6,7 ,Caipirinha,2020,April,51
7,8 ,Mai Tai,2020,April,49
8,9 ,Zombie,2020,April,47
9,10 ,Wiki Waki Woo,2020,April,41
0,1 ,Zerstörer,2020,Mai,66
1,2 ,Baby Aspirin,2020,Mai,56
2,3 ,Sex On The Beach,2020,Mai,46
3,4 ,Schwanzlstürzer,2020,Mai,38
4,5 ,Irish Flag (alkoholisch),2020,Mai,36
5,6 ,Mojito original,2020,Mai,34
6,7 ,Lady Finger,2020,Mai,33
7,8 ,Long Island Icetea,2020,Mai,33
8,9 ,Mai Tai,2020,Mai,33
9,10 ,Merlin,2020,Mai,32
0,1 ,Zerstörer,2020,Juni,65
1,2 ,Sex On The Beach,2020,Juni,51
2,3 ,Baby Aspirin,2020,Juni,48
3,4 ,Mai Tai,2020,Juni,39
4,5 ,Mojito original,2020,Juni,36
5,6 ,'57 Chevy,2020,Juni,34
6,7 ,Caipirinha,2020,Juni,34
7,8 ,Irish Flag (alkoholisch),2020,Juni,33
8,9 ,Speed King,2020,Juni,31
9,10 ,Omas offenes Bein,2020,Juni,30
0,1 ,Baby Aspirin,2020,Juli,79
1,2 ,Omas offenes Bein,2020,Juli,66
2,3 ,Sex On The Beach,2020,Juli,66
3,4 ,Zerstörer,2020,Juli,64
4,5 ,Irish Flag (alkoholisch),2020,Juli,61
5,6 ,Caipirinha,2020,Juli,60
6,7 ,Long Island Icetea,2020,Juli,50
7,8 ,Speed King,2020,Juli,49
8,9 ,Zombie,2020,Juli,48
9,10 ,'57 Chevy,2020,Juli,48
0,1 ,Zerstörer,2020,August,37
1,2 ,Baby Aspirin,2020,August,34
2,3 ,Speed King,2020,August,33
3,4 ,Omas offenes Bein,2020,August,30
4,5 ,Bavorak,2020,August,28
5,6 ,Irish Flag (alkoholisch),2020,August,26
6,7 ,Caipirinha,2020,August,26
7,8 ,Schwanzlstürzer,2020,August,25
8,9 ,Long Island Icetea,2020,August,23
9,10 ,Wiki Waki Woo,2020,August,22
0,1 ,Zerstörer,2020,September,99
1,2 ,Schwanzlstürzer,2020,September,62
2,3 ,Baby Aspirin,2020,September,49
3,4 ,Bavorak,2020,September,49
4,5 ,Sex On The Beach,2020,September,39
5,6 ,Pangalaktischer Donnergurgler,2020,September,38
6,7 ,Froschmilch,2020,September,37
7,8 ,Frensh 75 (CDrink),2020,September,37
8,9 ,Speed King,2020,September,37
9,10 ,Dream Cocktail,2020,September,31
0,1 ,Zerstörer,2020,Oktober,121
1,2 ,Speed King,2020,Oktober,76
2,3 ,Sex On The Beach,2020,Oktober,70
3,4 ,Omas offenes Bein,2020,Oktober,63
4,5 ,Schwanzlstürzer,2020,Oktober,63
5,6 ,Baby Aspirin,2020,Oktober,61
6,7 ,Irish Flag (alkoholisch),2020,Oktober,56
7,8 ,Caipirinha,2020,Oktober,52
8,9 ,Mojito original,2020,Oktober,47
9,10 ,Long Island Icetea,2020,Oktober,44
0,1 ,Zerstörer,2020,November,109
1,2 ,Speed King,2020,November,78
2,3 ,Schwanzlstürzer,2020,November,60
3,4 ,Bavorak,2020,November,49
4,5 ,Sex On The Beach,2020,November,49
5,6 ,Irish Flag (alkoholisch),2020,November,47
6,7 ,Baby Aspirin,2020,November,47
7,8 ,Mai Tai,2020,November,39
8,9 ,'57 Chevy,2020,November,39
9,10 ,Wiki Waki Woo,2020,November,38
0,1 ,Zerstörer,2020,Dezember,82
1,2 ,Speed King,2020,Dezember,68
2,3 ,Sex On The Beach,2020,Dezember,66
3,4 ,Irish Flag (alkoholisch),2020,Dezember,59
4,5 ,Long Island Icetea,2020,Dezember,49
5,6 ,Schwanzlstürzer,2020,Dezember,47
6,7 ,Omas offenes Bein,2020,Dezember,47
7,8 ,Baby Aspirin,2020,Dezember,42
8,9 ,Mai Tai,2020,Dezember,42
9,10 ,Zombie,2020,Dezember,40
